DATE,rainGage,Precip
2010-07-14,RG1,9.5
2010-07-15,RG1,0
2010-07-16,RG1,8.7
2010-07-17,RG1,0
2010-07-18,RG1,0
2010-07-19,RG1,2
2010-07-20,RG1,0
2010-07-21,RG1,32.3
2010-07-22,RG1,0.6
2010-07-23,RG1,1.1
2010-07-24,RG1,1.1
2010-07-25,RG1,10.4
2010-07-26,RG1,0
2010-07-27,RG1,0
2010-07-28,RG1,15.7
2010-07-29,RG1,3.2
2010-07-30,RG1,0
2010-07-31,RG1,0
2010-08-01,RG1,0
2010-08-02,RG1,9
2010-08-03,RG1,0
2010-08-04,RG1,0
2010-08-05,RG1,0
2010-08-06,RG1,0
2010-08-07,RG1,0
2010-08-08,RG1,0
2010-08-09,RG1,10
2010-08-10,RG1,0
2010-08-11,RG1,0
2010-08-12,RG1,0
2010-08-13,RG1,0
2010-08-14,RG1,0
2010-08-15,RG1,26.3
2010-08-16,RG1,0
2010-08-17,RG1,0
2010-08-18,RG1,0
2010-08-19,RG1,0
2010-08-20,RG1,0
2010-08-21,RG1,0
2010-08-22,RG1,20.7
2010-08-23,RG1,4.1
2010-08-24,RG1,0
2010-08-25,RG1,19.7
2010-08-26,RG1,1.4
2010-08-27,RG1,0
2010-08-28,RG1,0
2010-08-29,RG1,0
2010-08-30,RG1,0
2010-08-31,RG1,0
2010-09-01,RG1,0
2010-09-02,RG1,0
2010-09-03,RG1,6.3
2010-09-04,RG1,8.4
2010-09-05,RG1,0.5
2010-09-06,RG1,0
2010-09-07,RG1,0
2010-09-08,RG1,5
2010-09-09,RG1,0.6
2010-09-10,RG1,0.3
2010-09-11,RG1,0
2010-09-12,RG1,1.6
2010-09-13,RG1,8.1
2010-09-14,RG1,3.1
2010-09-15,RG1,0.3
2010-09-16,RG1,24.9
2010-09-17,RG1,3.8
2010-09-18,RG1,0
2010-09-19,RG1,0
2010-09-20,RG1,0
2010-09-21,RG1,0
2010-09-22,RG1,1.3
2010-09-23,RG1,0
2010-09-24,RG1,4
2010-09-25,RG1,0
2010-09-26,RG1,0
2010-09-27,RG1,17.8
2010-09-28,RG1,36
2010-09-29,RG1,0
2010-09-30,RG1,60.5
2010-10-01,RG1,49.8
2010-10-02,RG1,0
2010-10-03,RG1,0
2010-10-04,RG1,0
2010-10-05,RG1,0
2010-10-06,RG1,4.7
2010-10-07,RG1,4.4
2010-10-08,RG1,2.1
2010-10-09,RG1,0
2010-10-10,RG1,0
2010-10-11,RG1,0
2010-10-12,RG1,0
2010-10-13,RG1,0
2010-10-14,RG1,2.1
2010-10-15,RG1,45.8
2010-10-16,RG1,2.1
2010-10-17,RG1,0.5
2010-10-18,RG1,0
2010-10-19,RG1,0
2010-10-20,RG1,0
2010-10-21,RG1,8.3
2010-10-22,RG1,0
2010-10-23,RG1,0
2010-10-24,RG1,5.1
2010-10-25,RG1,8.7
2010-10-26,RG1,5.4
2010-10-27,RG1,17.9
2010-10-28,RG1,0
2010-10-29,RG1,1.4
2010-10-30,RG1,3.5
2010-10-31,RG1,0.8
2010-11-01,RG1,0
2010-11-02,RG1,0
2010-11-03,RG1,0
2010-11-04,RG1,22
2010-11-05,RG1,14.5
