WINTER,Date,STA1,STA2,STA3,STA4,STA5,STA6,STA7,STA8,STA9,STA10,STA11,STA12,STA13,STA14,STA15,STA16,STA17,STA19,STA20,STA21,STAHQ
2010,2010-01-06,-99,174,-99,-99,-99,-99,-99,-99,197,-99,-99,-99,-99,-99,-99,-99,160,155,-99,-99,99
2010,2010-01-11,-99,172,-99,-99,-99,-99,-99,-99,192,-99,-99,-99,-99,-99,-99,-99,159,154,-99,-99,107
2010,2010-01-19,-99,191,-99,-99,-99,-99,-99,-99,221,-99,-99,-99,-99,-99,-99,-99,193,189,-99,-99,121
2010,2010-01-26,-99,118,-99,-99,-99,-99,-99,-99,131,-99,-99,-99,-99,-99,-99,-99,130,116,-99,-99,71
2010,2010-02-01,-99,132,-99,-99,-99,-99,-99,-99,150,-99,-99,-99,-99,-99,-99,-99,153,127,-99,-99,69
2010,2010-02-08,-99,118,-99,-99,-99,-99,-99,-99,147,-99,-99,-99,-99,-99,-99,-99,146,117,-99,-99,61
2010,2010-02-15,-99,113,-99,-99,-99,-99,-99,-99,152,-99,-99,-99,-99,-99,-99,-99,155,111,-99,-99,56
2010,2010-02-22,-99,108,-99,-99,-99,-99,-99,-99,151,-99,-99,-99,-99,-99,-99,-99,162,119,-99,-99,58
2010,2010-03-02,-99,159,-99,-99,-99,-99,-99,-99,242,-99,-99,-99,-99,-99,-99,-99,257,176,-99,-99,43
2010,2010-03-08,-99,102,-99,-99,-99,-99,-99,-99,190,-99,-99,-99,-99,-99,-99,-99,243,166,-99,-99,0
2010,2010-03-16,-99,43,-99,-99,-99,-99,-99,-99,151,-99,-99,-99,-99,-99,-99,-99,218,144,-99,-99,0
2010,2010-03-22,-99,0,-99,-99,-99,-99,-99,-99,23,-99,-99,-99,-99,-99,-99,-99,166,33,-99,-99,0
2010,2010-03-31,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,131,0,-99,-99,0
2010,2010-04-05,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
2011,2010-12-29,-99,152,-99,-99,-99,-99,-99,-99,145,-99,-99,-99,-99,-99,-99,-99,76,124,-99,-99,65
2011,2011-01-04,-99,10,-99,-99,-99,-99,-99,-99,23,-99,-99,-99,-99,-99,-99,-99,20,20,-99,-99,0
2011,2011-01-10,-99,10,-99,-99,-99,-99,-99,-99,15,-99,-99,-99,-99,-99,-99,-99,20,20,-99,-99,12
2011,2011-01-20,-99,146,-99,-99,-99,-99,-99,-99,207,-99,-99,-99,-99,-99,-99,-99,133,133,-99,-99,152
2011,2011-01-25,-99,168,-99,-99,-99,-99,-99,-99,211,-99,-99,-99,-99,-99,-99,-99,140,172,-99,-99,130
2011,2011-01-31,-99,159,-99,-99,-99,-99,-99,-99,197,-99,-99,-99,-99,-99,-99,-99,144,178,-99,-99,151
2011,2011-02-07,-99,256,-99,-99,-99,-99,-99,-99,274,-99,-99,-99,-99,-99,-99,-99,248,262,-99,-99,213
2011,2011-02-14,-99,256,-99,-99,-99,-99,-99,-99,296,-99,-99,-99,-99,-99,-99,-99,248,261,-99,-99,193
2011,2011-02-22,-99,187,-99,-99,-99,-99,-99,-99,248,-99,-99,-99,-99,-99,-99,-99,220,205,-99,-99,151
2011,2011-03-01,-99,308,-99,-99,-99,-99,-99,-99,335,-99,-99,-99,-99,-99,-99,-99,357,326,-99,-99,257
2011,2011-03-08,-99,235,-99,-99,-99,-99,-99,-99,270,-99,-99,-99,-99,-99,-99,-99,306,256,-99,-99,192
2011,2011-03-14,-99,218,-99,-99,-99,-99,-99,-99,511,-99,-99,-99,-99,-99,-99,-99,323,261,-99,-99,153
2011,2011-03-21,-99,154,-99,-99,-99,-99,-99,-99,215,-99,-99,-99,-99,-99,-99,-99,295,253,-99,-99,140
2011,2011-03-28,-99,189,-99,-99,-99,-99,-99,-99,256,-99,-99,-99,-99,-99,-99,-99,331,288,-99,-99,110
2011,2011-04-06,-99,176,-99,-99,-99,-99,-99,-99,284,-99,-99,-99,-99,-99,-99,-99,379,287,-99,-99,52
2011,2011-04-12,-99,0,-99,-99,-99,-99,-99,-99,149,-99,-99,-99,-99,-99,-99,-99,307,195,-99,-99,0
2011,2011-04-18,-99,0,-99,-99,-99,-99,-99,-99,84,-99,-99,-99,-99,-99,-99,-99,280,150,-99,-99,0
2011,2011-04-25,-99,0,-99,-99,-99,-99,-99,-99,19,-99,-99,-99,-99,-99,-99,-99,277,88,-99,-99,0
2011,2011-05-02,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,119,0,-99,-99,0
2011,2011-05-10,-99,0,-99,-99,-99,-99,-99,-99,0,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,0
