Well,X,Y,PipeHt
A5,281820.250,4870723.000,95.0
A6,281910.219,4870701.500,59.0
A7,281757.250,4870606.000,42.5
D1,281751.062,4870859.500,126.0
H4,281588.562,4870944.500,80.0
I3,281642.000,4870722.500,84.0
I6,281656.844,4870866.000,73.0
I7,281652.094,4870847.500,118.0
I8,281643.938,4870838.500,85.5
I9,281631.875,4870817.000,105.5
JD01,281581.625,4870530.000,61.0
JD02,281593.375,4870530.500,94.5
JD03,281616.969,4870548.000,63.0
JD04,281698.344,4870576.000,86.0
JD05,281627.625,4870676.000,90.0
JD06,281682.281,4870742.500,87.0
JD07,281715.000,4870837.500,105.0
JD08,281716.875,4870899.500,56.0
JD09,281752.594,4871014.500,85.0
JD10,281795.812,4871148.000,77.0
JD11,281807.000,4871150.000,38.0
JD12,281793.812,4871161.500,77.0
JD13,281785.094,4871166.500,95.0
JD14,281844.469,4870924.500,90.0
JD15,281840.156,4870932.000,63.0
JD16,281835.969,4870944.000,70.5
JD17,281725.000,4870771.500,90.0
JD18,281737.344,4870770.000,94.0
JD19,281747.125,4870765.500,62.0
JD21,281600.531,4870932.500,71.5
JD20,281612.062,4870931.000,104.0
JD22,281588.938,4870943.500,58.0
JD23,281596.031,4870740.500,95.0
JD24,281586.469,4870745.000,85.0
JD25,281577.656,4870750.500,77.0
JD26,281566.844,4870753.000,91.0
JD27,281675.156,4870558.000,106.0
JD28,281742.875,4870593.000,85.0
JD29,281595.219,4870743.500,103.0
JD30,281566.906,4870866.500,152.5
JD31,281538.281,4870992.500,127.0
K1D,281686.688,4871076.500,60.0
K10,281667.625,4871134.000,14.0
K11,281679.844,4871078.000,30.0
K1,281688.188,4871079.500,113.0
K4S,281668.031,4871131.000,100.7
K4M,281668.031,4871131.000,82.0
K4D,281668.031,4871131.000,57.5
K5,281682.688,4871124.000,8.0
K6S,281688.656,4871098.500,105.5
K6D,281688.656,4871098.500,55.0
K7S,281685.000,4871111.000,120.5
K7D,281685.000,4871111.000,63.0
K8,281684.781,4871117.000,59.5
K9,281669.156,4871146.500,75.0
N1,281655.406,4871219.000,109.5
N2,281664.719,4871212.000,77.0
N3,281660.031,4871222.500,94.5
N4,281659.312,4871219.500,80.0
N5,281667.406,4871209.500,33.8
O1,281893.062,4870876.000,110.0
O2,281896.188,4870875.000,123.4
P1,281449.188,4871038.000,148.7
P2,281452.438,4871033.500,117.6
Q1,281909.719,4870979.500,108.5
Q2,281904.719,4870973.500,123.5
T1,281509.375,4870767.500,123.5
