WS-#,Site,Time,Date,pH,Type,deep C screen,Na mg/L,Mg mg/L,Al mg/L,Si mg/L,K mg/L,Ca mg/L,Mn mg/L,Fe mg/L,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L
193,A6,NA,2010-03-25T00:00:00Z,6.12,G1,NA,2.14,1.04,1.07,6.12,1.01,4.17,1.15,1.58,0.08,0.53,0,4.06,7.54,0.19,NA,NA,NA
374,A6,NA,2010-06-28T00:00:00Z,5.71,G1,NA,1.59,1.1,1.55,7.06,1.04,4.08,0.88,2.69,0.05,0.48,0,4.65,11.53,0.41,NA,NA,NA
464,A6,NA,2010-08-26T00:00:00Z,5.68,G1,NA,1.57,1.37,3.36,10.14,1.63,4.83,0.91,5.97,0.07,0.45,0,5.63,13.3,0.44,NA,NA,NA
465,A6,NA,2010-09-29T00:00:00Z,5.78,G1,NA,1.43,1.17,2.19,8.4,1.32,4.58,0.82,4.29,0.08,0.46,0,5.68,10.37,0.35,NA,NA,NA
601,A6,NA,2011-04-07T00:00:00Z,5.64,G1,NA,1.22,0.91,0.78,5.42,0.66,3.27,0.49,1.85,0.05,0.48,0,4.35,8.95,0.23,NA,NA,NA
641,A6,NA,2011-04-14T00:00:00Z,5.57,G1,NA,1.2,0.81,0.48,4.81,0.67,2.9,0.38,0.7,0.04,0.56,0.13,4,7.52,0.27,NA,NA,NA
665,A6,NA,2011-05-24T00:00:00Z,5.74,G1,NA,1.15,0.94,1.15,5.7,0.83,3.19,0.42,1.77,0.05,0.41,0.01,4.08,8.63,0.24,NA,NA,NA
691,A6,NA,2011-08-16T00:00:00Z,5.59,G1,NA,1.47,1.1,1.35,7.66,1.29,4.42,0.43,1.17,0.05,0.42,0.02,5.83,8.02,0.2,NA,NA,NA
697,A6,10:40:00,2011-08-29T00:00:00Z,5.76,G1,NA,1.68,1.13,1.42,7.59,1.22,4.46,0.42,1.54,0.04,0.44,0.01,5.38,8.16,0.19,NA,NA,NA
718,A6,NA,2011-11-04T00:00:00Z,5.74,G1,NA,1.52,1.1,1.07,6.52,0.98,4.16,0.45,0.92,0.05,0.41,0.09,4.57,8.68,0.25,NA,NA,NA
